지 역,,,18년 01,18년 02,전분기대비,18년 03,전분기대비,18년 04,전분기대비,19년 01,전분기대비,19년 02,전분기대비,19년 03,전분기대비,19년 04,전분기대비,20년 01,전분기대비,20년 02,전분기대비,20년 03,전분기대비,20년 04,전분기대비,21년 01,전분기대비,,전년대비,,,,,,,,
경기,,영통구,1.1,2.5,1.4,4,1.5,6,2.0,4.8,-1.2,3.8,-1.0,4.9,1.1,9.9,5.0,24.9,15.0,34.9,10.0,42.9,8.0,51.1,8.2,66.7,15.6,,8,,,,18.1,,,,32.7
경기,성남시,,6.7,10.9,4.2,18,7.1,21.9,3.9,16.8,-5.1,17.5,0.7,22.5,5.0,30,7.5,37.8,7.8,42.6,4.8,55,12.4,68.5,13.5,84.3,15.8,,3.7,,,,20.1,,,,41.8
경기,,수정구,3.4,6.9,3.5,11,4.1,15.5,4.5,13.8,-1.7,14,0.2,18.5,4.5,26.6,8.1,37,10.4,41.8,4.8,50.6,8.8,61.1,10.5,75.2,14.1,,10.1,,,,21,,,,46.5
경기,,중원구,1.7,4.6,2.9,9.9,5.3,15,5.1,12.5,-2.5,13.2,0.7,18.2,5.0,27.2,9.0,38.9,11.7,48.7,9.8,60.3,11.6,71.1,10.8,87.6,16.5,,10.4,,,,23.2,,,,38.2
경기,,분당구,8.7,14.4,5.7,21.3,6.9,26.8,5.5,18.2,-8.6,19.4,1.2,24.5,5.1,31.1,6.6,37.5,6.4,41.5,4.0,54.4,12.9,69.1,14.7,85.3,16.2,,10.8,,,,26.4,,,,48.7
경기,의정부시,,0.3,0.1,-0.2,0.6,0.5,1.1,0.5,-1,-2.1,-1.7,-0.7,-1.3,0.4,-0.4,0.9,0.9,1.3,2.8,1.9,6.4,3.6,13.6,7.2,32.9,19.3,,9.5,,저금리,40%,19.3,,,,47.8
경기,안양시,,2.2,3.8,1.6,7.9,4.1,12.2,4.3,9.2,-3.0,6.7,-2.5,8.9,2.2,12.8,3.9,19.3,6.5,24.5,5.2,31.3,6.8,38.7,7.4,53.2,14.5,,-1.3,,주택공급부족,30%,1.9,,,,32
경기,,만안구,1.3,1.7,0.4,5.2,3.5,10.3,5.1,8.9,-1.4,8.4,-0.5,10.3,1.9,14.8,4.5,21.6,6.8,26.2,4.6,31.2,5.0,36.6,5.4,46.4,9.8,,7,,변수1,20,10.1,,,,33.9
경기,,동안구,2.6,4.9,2.3,9.1,4.2,13.5,4.4,9.4,-4.1,5.7,-3.7,8.3,2.6,11.9,3.6,18.4,6.5,24,5.6,31.5,7.5,40.1,8.6,57,16.9,,7.6,,변수2,5,12.7,,,,24.8
경기,부천시,,0,0.1,0.1,2.4,2.3,6.2,3.8,6.3,0.1,6.3,0.0,7.6,1.3,9.8,2.2,13.1,3.3,17.8,4.7,22.7,4.9,27.4,4.7,37.4,10.0,,6.8,,변수3,5,9,,,,38.6
