,address,station3,market,school,bank,cafe,hospital
283,서울특별시 강북구 솔샘로 174,20.0,10.0,80.0,12.0,17.0,16.0
284,서울특별시 강북구 솔샘로 174,20.0,10.0,80.0,12.0,17.0,16.0
285,서울특별시 강북구 숭인로 39,20.0,60.0,100.0,24.0,73.0,71.0
286,서울특별시 강북구 숭인로7가길 37,20.0,60.0,80.0,28.0,76.0,66.0
287,서울특별시 강북구 오패산로30길 30,0.0,20.0,60.0,4.0,37.0,12.0
288,서울특별시 강북구 오현로 128,0.0,40.0,0.0,8.0,10.0,3.0
289,서울특별시 강북구 오현로 156,0.0,30.0,20.0,9.0,13.0,13.0
290,서울특별시 강북구 오현로 180,0.0,20.0,20.0,10.0,17.0,12.0
291,서울특별시 강북구 오현로 207,0.0,10.0,60.0,15.0,21.0,16.0
292,서울특별시 강북구 오현로 45,0.0,30.0,60.0,12.0,41.0,27.0
293,서울특별시 강북구 오현로 56,0.0,20.0,20.0,4.0,11.0,3.0
294,서울특별시 강북구 오현로31길 85-7,0.0,10.0,40.0,10.0,15.0,15.0
295,서울특별시 강북구 오현로31길 89,0.0,20.0,40.0,9.0,14.0,13.0
296,서울특별시 강북구 월계로21가길 41,0.0,20.0,60.0,5.0,26.0,15.0
297,서울특별시 강북구 월계로37길 137,0.0,20.0,60.0,12.0,16.0,15.0
298,서울특별시 강북구 월계로37길 65,0.0,20.0,60.0,9.0,13.0,10.0
299,서울특별시 강북구 월계로37길 87-9,0.0,20.0,60.0,10.0,12.0,12.0
300,서울특별시 강북구 인수봉로 18,50.0,20.0,80.0,8.0,15.0,19.0
301,서울특별시 강북구 인수봉로72길 4,20.0,10.0,60.0,14.0,29.0,12.0
302,서울특별시 강북구 한천로105길 23,0.0,20.0,60.0,7.0,12.0,15.0
303,서울특별시 강북구 한천로109길 69,0.0,20.0,20.0,11.0,15.0,12.0
304,서울특별시 강북구 한천로109길 83,0.0,20.0,20.0,10.0,17.0,12.0
305,서울특별시 강북구 한천로124나길 10,0.0,20.0,40.0,22.0,55.0,27.0
306,서울특별시 강북구 한천로159길 8,20.0,10.0,0.0,22.0,46.0,31.0
307,서울특별시 강북구 한천로159길 8,20.0,10.0,0.0,22.0,46.0,31.0
308,서울특별시 강서구 강서로 266,20.0,50.0,40.0,11.0,29.0,42.0
309,서울특별시 강서구 강서로 348,50.0,60.0,100.0,23.0,119.0,84.0
310,서울특별시 강서구 강서로 490,50.0,40.0,60.0,19.0,54.0,10.0
311,서울특별시 강서구 강서로 532,20.0,30.0,40.0,15.0,37.0,8.0
312,서울특별시 강서구 강서로17가길 46,0.0,20.0,20.0,10.0,30.0,19.0
313,서울특별시 강서구 강서로45다길 30-27,20.0,50.0,80.0,19.0,44.0,44.0
314,서울특별시 강서구 강서로46길 79,20.0,50.0,100.0,11.0,41.0,36.0
